id,company_name,timestamp,prefix,payload_summary,deactivated
33,          ,2026-06-10T16:23:01.645808,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
34,Test@#Traders&Co!,2026-06-10T16:23:02.043780,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
35,'; DROP TABLE suppliers; --,2026-06-10T16:23:02.246696,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
36,<script>alert('xss')</script>,2026-06-10T16:23:02.468317,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
37,255Sup_20260610162302_921,2026-06-10T16:23:02.682514,255Sup,Created via API with prefix=255Sup,False
38,DupCoSup_20260610162303_716,2026-06-10T16:23:03.416657,DupCoSup,Created via API with prefix=DupCoSup,False
39,DupCoSup_20260610162303_716,2026-06-10T16:23:03.603345,DupCoSup,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
40,DupEmailSup_20260610162303_193,2026-06-10T16:23:03.788212,DupEmailSup,Created via API with prefix=DupEmailSup,False
41,DupEmailSup2_20260610162303_471,2026-06-10T16:23:03.962064,DupEmailSup2,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
42,DupPhoneSup_20260610162303_280,2026-06-10T16:23:04.157751,DupPhoneSup,Created via API with prefix=DupPhoneSup,False
43,DupPhoneSup2_20260610162304_592,2026-06-10T16:23:04.338795,DupPhoneSup2,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
44,EditEmailSup_20260610162304_944,2026-06-10T16:23:04.520199,EditEmailSup,Created via API with prefix=EditEmailSup,False
