id,company_name,timestamp,prefix,payload_summary,deactivated
463,ValidCust_20260610105949_a8e53912,2026-06-10T10:59:49.337933,ValidCust,Created via API with prefix=ValidCust,False
464,          ,2026-06-10T10:59:49.545905,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
465,"Test!@#$%^&*()_+-=[]{}|;':"",./<>?",2026-06-10T10:59:50.768103,Test!@#$%^&*(),"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
466,'; DROP TABLE customers; --,2026-06-10T10:59:50.958399,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
467,<script>alert('xss')</script>,2026-06-10T10:59:51.183162,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
468,PanSpCust_20260610105951_9ae2f719,2026-06-10T10:59:51.604746,PanSpCust,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
469,Test Company 😀🎉,2026-06-10T10:59:52.518740,,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
470,DupPan1_20260610105952_1f3e86c3,2026-06-10T10:59:52.720891,DupPan1,Created via API with prefix=DupPan1,False
471,DupName1_20260610105952_fe7693ea,2026-06-10T10:59:53.129111,DupName1,Created via API with prefix=DupName1,False
472,DupName1_20260610105952_fe7693ea,2026-06-10T10:59:53.322471,DupName1,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
473,DupEmail1_20260610105953_be6347aa,2026-06-10T10:59:53.549649,DupEmail1,Created via API with prefix=DupEmail1,False
474,DupEmail2_20260610105953_15f86059,2026-06-10T10:59:53.733894,DupEmail2,"ACCIDENTAL CREATION — invalid payload was accepted, needs manual purge",False
475,EditDupPan1_20260610105953_4ce47c4c,2026-06-10T10:59:53.946497,EditDupPan1,Created via API with prefix=EditDupPan1,False
476,EditDupPan2_20260610105953_bdce484b,2026-06-10T10:59:54.151675,EditDupPan2,Created via API with prefix=EditDupPan2,False
477,EditNameCust_20260610105954_c2bbd322,2026-06-10T10:59:54.522788,EditNameCust,Created via API with prefix=EditNameCust,False
478,EditClearCust_20260610105954_7cfb97f5,2026-06-10T10:59:54.904193,EditClearCust,Created via API with prefix=EditClearCust,False
479,EditEmailCust_20260610105955_8d23d9cd,2026-06-10T10:59:55.276125,EditEmailCust,Created via API with prefix=EditEmailCust,False
480,SearchCust_20260610105955_60672d54,2026-06-10T10:59:55.689156,SearchCust,Created via API with prefix=SearchCust,False
